Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","1990","1990","No","77","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","2000","2003","No","4064","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","2010","2008","No","4093","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","2020","2018","No","5225","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","1950","1950","No","304","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","1960","1960","No","676","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","1970","1970","No","461","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","1980","1980","No","473","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","1990","1990","No","87","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","2000","2003","No","1867","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","2010","2008","No","889","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","2020","2018","No","670","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270032","Holdings with land size 2-<3","2010","2008","No","471","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270032","Holdings with land size 2-<3","2020","2018","No","250","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270033","Holdings with land size 2-<5","1950","1950","No","593","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270033","Holdings with land size 2-<5","1960","1960","No","605","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270033","Holdings with land size 2-<5","1970","1970","No","553","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270033","Holdings with land size 2-<5","1980","1980","No","274","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270033","Holdings with land size 2-<5","1990","1990","No","98","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270033","Holdings with land size 2-<5","2000","2003","No","926","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270034","Holdings with land size 3-<4","2010","2008","No","112","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270034","Holdings with land size 3-<4","2020","2018","No","61","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270035","Holdings with land size 4-<5","2010","2008","No","76","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270035","Holdings with land size 4-<5","2020","2018","No","31","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","1950","1950","No","194","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","1960","1960","No","120","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","1970","1970","No","74","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","1980","1980","No","37","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","1990","1990","No","77","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","2000","2003","No","189","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","2010","2008","No","155","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","2020","2018","No","67","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","1950","1950","No","130","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","1960","1960","No","33","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","1970","1970","No","70","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","1980","1980","No","12","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","1990","1990","No","27","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","2000","2003","No","40","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","2010","2008","No","45","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","2020","2018","No","15","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270038","Holdings with land size 20-<50","1950","1950","No","36","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270038","Holdings with land size 20-<50","1960","1960","No","10","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270038","Holdings with land size 20-<50","1970","1970","No","7","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270038","Holdings with land size 20-<50","1980","1980","No","6","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270038","Holdings with land size 20-<50","1990","1990","No","18","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270038","Holdings with land size 20-<50","2000","2003","No","8","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270038","Holdings with land size 20-<50","2020","2018","No","8","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270039","Holdings with land size 50-<100","1960","1960","No","4","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270039","Holdings with land size 50-<100","1970","1970","No","3","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","028","Antigua and Barbuda","60850","Number","270030","Holdings with land size 0-<1","1960","1961","No","3579","A","Official figure",""
"WCAD","Structural data from agricultural censuses","028","Antigua and Barbuda","60850","Number","270031","Holdings with land size 1-<2","1960","1961","No","1654","A","Official figure",""
"WCAD","Structural data from agricultural censuses","028","Antigua and Barbuda","60850","Number","270033","Holdings with land size 2-<5","1960","1961","No","394","A","Official figure",""
"WCAD","Structural data from agricultural censuses","028","Antigua and Barbuda","60850","Number","270036","Holdings with land size 5-<10","1960","1961","No","48","A","Official figure",""
"WCAD","Structural data from agricultural censuses","028","Antigua and Barbuda","60850","Number","270037","Holdings with land size 10-<20","1960","1961","No","23","A","Official figure",""
"WCAD","Structural data from agricultural censuses","028","Antigua and Barbuda","60850","Number","270038","Holdings with land size 20-<50","1960","1961","No","13","A","Official figure",""
"WCAD","Structural data from agricultural censuses","028","Antigua and Barbuda","60850","Number","270039","Holdings with land size 50-<100","1960","1961","No","10","A","Official figure",""
"WCAD","Structural data from agricultural censuses","028","Antigua and Barbuda","60850","Number","2700300","Holdings with land size 100-<200","1960","1961","No","11","A","Official figure",""
"WCAD","Structural data from agricultural censuses","028","Antigua and Barbuda","60850","Number","2700301","Holdings with land size 200-<500","1960","1961","No","15","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270066","Holdings without land","2020","2018","No","22340","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270030","Holdings with land size 0-<1","1960","1960","No","18848","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270030","Holdings with land size 0-<1","2020","2018","No","7457","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270031","Holdings with land size 1-<2","1960","1960","No","18275","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270031","Holdings with land size 1-<2","2020","2018","No","6856","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270032","Holdings with land size 2-<3","2020","2018","No","6105","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270033","Holdings with land size 2-<5","1960","1960","No","49274","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270033","Holdings with land size 2-<5","1990","1988","No","57057","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270034","Holdings with land size 3-<4","2020","2018","No","5550","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270035","Holdings with land size 4-<5","2020","2018","No","5120","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270036","Holdings with land size 5-<10","1960","1960","No","40826","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270036","Holdings with land size 5-<10","1990","1988","No","31680","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270036","Holdings with land size 5-<10","2020","2018","No","15163","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270037","Holdings with land size 10-<20","1960","1960","No","50838","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270037","Holdings with land size 10-<20","1990","1988","No","39074","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270037","Holdings with land size 10-<20","2020","2018","No","20178","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270038","Holdings with land size 20-<50","1960","1960","No","82748","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270038","Holdings with land size 20-<50","1990","1988","No","59129","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270038","Holdings with land size 20-<50","2020","2018","No","32367","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270039","Holdings with land size 50-<100","1960","1960","No","62641","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270039","Holdings with land size 50-<100","1990","1988","No","48006","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270039","Holdings with land size 50-<100","2020","2018","No","25226","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700300","Holdings with land size 100-<200","1960","1960","No","58795","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700300","Holdings with land size 100-<200","1990","1988","No","47083","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700300","Holdings with land size 100-<200","2020","2018","No","25824","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700301","Holdings with land size 200-<500","1960","1960","No","45488","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700301","Holdings with land size 200-<500","1990","1988","No","47772","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700301","Holdings with land size 200-<500","2020","2018","No","32020","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700302","Holdings with land size 500-<1000","1960","1960","No","17665","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700302","Holdings with land size 500-<1000","1990","1988","No","21101","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700302","Holdings with land size 500-<1000","2020","2018","No","18592","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700303","Holdings with land size 1000-<2500","2020","2018","No","15400","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700304","Holdings with land size >=1000","1960","1960","No","26358","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700304","Holdings with land size >=1000","1990","1988","No","27455","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700305","Holdings with land size >=2500","2020","2018","No","11465","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270066","Holdings without land","2010","2014","No","14847","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270030","Holdings with land size 0-<1","2010","2014","No","206338","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270031","Holdings with land size 1-<2","2010","2014","No","69908","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270032","Holdings with land size 2-<3","2010","2014","No","20796","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270034","Holdings with land size 3-<4","2010","2014","No","17564","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270035","Holdings with land size 4-<5","2010","2014","No","15198","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270036","Holdings with land size 5-<10","2010","2014","No","12394","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270037","Holdings with land size 10-<20","2010","2014","No","2901","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270038","Holdings with land size 20-<50","2010","2014","No","868","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270039","Holdings with land size 50-<100","2010","2014","No","153","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","2700300","Holdings with land size 100-<200","2010","2014","No","58","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","2700301","Holdings with land size 200-<500","2010","2014","No","38","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270030","Holdings with land size 0-<1","1930","1929/30","No","831","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270030","Holdings with land size 0-<1","1950","1950","No","2110","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270030","Holdings with land size 0-<1","1960","1960","No","2685","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270030","Holdings with land size 0-<1","1970","1970/71","No","1665","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270030","Holdings with land size 0-<1","2020","2015/16","No","599","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270030","Holdings with land size 0-<1","2020","2020/21","No","492","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270031","Holdings with land size 1-<2","1930","1929/30","No","2012","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270031","Holdings with land size 1-<2","1950","1950","No","3844","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270031","Holdings with land size 1-<2","1960","1960","No","3844","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270031","Holdings with land size 1-<2","1970","1970/71","No","3184","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270031","Holdings with land size 1-<2","2020","2015/16","No","288","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270031","Holdings with land size 1-<2","2020","2020/21","No","390","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270032","Holdings with land size 2-<3","2020","2015/16","No","625","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270033","Holdings with land size 2-<5","1930","1929/30","No","7519","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270033","Holdings with land size 2-<5","1950","1950","No","10143","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270033","Holdings with land size 2-<5","1960","1960","No","10219","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270033","Holdings with land size 2-<5","1970","1970/71","No","14665","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270033","Holdings with land size 2-<5","1990","1989/90","No","3368","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270033","Holdings with land size 2-<5","2020","2020/21","No","1781","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270034","Holdings with land size 3-<4","2020","2015/16","No","520","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270035","Holdings with land size 4-<5","2020","2015/16","No","448","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270036","Holdings with land size 5-<10","1930","1929/30","No","13176","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270036","Holdings with land size 5-<10","1950","1950","No","16778","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270036","Holdings with land size 5-<10","1960","1960","No","13672","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270036","Holdings with land size 5-<10","1970","1970/71","No","12680","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270036","Holdings with land size 5-<10","1990","1989/90","No","3052","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270036","Holdings with land size 5-<10","2020","2015/16","No","1738","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270036","Holdings with land size 5-<10","2020","2020/21","No","1879","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270037","Holdings with land size 10-<20","1930","1929/30","No","24110","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270037","Holdings with land size 10-<20","1950","1950","No","15619","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270037","Holdings with land size 10-<20","1960","1960","No","16598","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270037","Holdings with land size 10-<20","1970","1970/71","No","15677","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270037","Holdings with land size 10-<20","1990","1989/90","No","4808","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270037","Holdings with land size 10-<20","2020","2015/16","No","3161","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270037","Holdings with land size 10-<20","2020","2020/21","No","3298","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270038","Holdings with land size 20-<50","1930","1929/30","No","27814","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270038","Holdings with land size 20-<50","1950","1950","No","32542","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270038","Holdings with land size 20-<50","1960","1960","No","31606","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270038","Holdings with land size 20-<50","1970","1970/71","No","29578","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270038","Holdings with land size 20-<50","1990","1989/90","No","9144","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270038","Holdings with land size 20-<50","2020","2015/16","No","6644","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270038","Holdings with land size 20-<50","2020","2020/21","No","7590","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270039","Holdings with land size 50-<100","1930","1929/30","No","26336","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270039","Holdings with land size 50-<100","1950","1950","No","34580","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270039","Holdings with land size 50-<100","1960","1960","No","34860","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270039","Holdings with land size 50-<100","1970","1970/71","No","32125","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270039","Holdings with land size 50-<100","1990","1989/90","No","12607","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270039","Holdings with land size 50-<100","2020","2015/16","No","7034","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270039","Holdings with land size 50-<100","2020","2020/21","No","8131","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","2700300","Holdings with land size 100-<200","1930","1929/30","No","31967","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","2700300","Holdings with land size 100-<200","1950","1950","No","33756","E","Estimated value","Interpolated data."
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","2700300","Holdings with land size 100-<200","1960","1960","No","35238","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","2700300","Holdings with land size 100-<200","1970","1970/71","No","33051","E","Estimated value","Interpolated data"
